Sentence,Truth,Prediction,W_error_rate,Bleu_score,Correction
Tôi đi,ĭnh năm,inh năm .,,,inh năm 
Anh đi,'nhŏng năm,'nhŏng năm .,,,'nhŏng năm 
Anh ấy đi,'nhŏng 'nŏh năm,'nhŏng ơ̆i kih .,,,'nhŏng năm 
Cô ấy đi,Duch 'nŏh năm,duch ơ̆i kih .,,,duch năm 
Chúng tôi đi,nhơn năm (nhưn năm),nhi lơm .,,,nhi 
Các anh đi,Đe 'nhŏng năm,đe 'nhŏng năm .,,,đe 'nhŏng năm 
Họ đi,Đe năm,kơtum kơtŏng kih .,,,kăn hơ năm tơ pul 
Nó gặp tôi,Hơ tơjrâm ĭnh ,hăp tơpau inh .,,,hơ năm tơ ơ̆u 
Nó gặp anh,Hơ tơjrâm 'nhŏng,hăp tơjrưm .,,,hơ tơjrưm măt 
Nó gặp cô ấy,Hơ tơjrâm maĭ 'nŏh,hăp tơpau duch ơ̆i .,,,hơ bĕng đau kơdơ̆u tơ ơ̆i . 
Nó gặp anh ấy,Hơ tơjrâm 'nhŏng 'nŏh,hăp tơpau 'nhŏng ơ̆i .,,,hơ năm bơdô̆ hơ . 
Nó gặp chúng tôi,Hơ tơjrâm nhơn,hăp tơpau nhi .,,,hơ sưt nhơn 
Nó gặp các anh,Hơ tơjrâm 'yĕm 'nhŏng,hăp tơpau đe 'nhŏng .,,,hơ 'yoh 
Nó gặp họ,Hơ tơjrâm kăn hơ,hăp tơpau kơtum kơtŏng .,,,hơ năm tơ bơ̆l . 
Nó cho tôi một quyển sách,Hơ ăn nhin hla săch ,hăp ăn inh minh tơ̆p sơ̆p hla bơ-al .,,,hơ ăn kơ inh minh kơ 'ban amăn jên 
Nó nghĩ về anh,Hơ tơ dŏ ăn kơ 'nhŏng,hơ chro đon lơ̆m nhŏng .,,,Đe hơ-yoh liêm lơ̆m chŭn đôi 
Nó lo lắng cho cô ấy,Hơ chro lư ăn duch 'nŏh,hơ chro ăn duch ơ̆i .,,,hơ chro ăn duch . 
Nó đi cùng với chúng tôi,Hơ năm adrĭng lu nhơn,hăp kih adơi sơm nhi .,,,hơ năm adrĭng nhơn 
Nó vui sướng vì tôi,Hơ hưch hanh yua kơ ĭnh,hăp hyôk yuô inh .,,,hơ 'yoh 
Cha của tôi,'Bă ĭnh,'bă đơng inh .,,,'bă đei 
Mẹ của tôi,Mĭ ĭnh,mĭ đơng inh .,,,mĭ hăm bơ̆n 
Anh của nó,'nhŏng hơ,'nhŏng đơng pơdơi .,,,'nhŏng dih bơl 
Chị của nó,Mai hơ,mai đơng pơdơi .,,,mai oh 
Ông của các anh,'Bok 'yĕm 'nhŏng,'bok đơng đe 'nhŏng .,,,'bok đe 'nhŏng 
Bà của các anh,Yă 'yĕm 'nhŏng,yă đơng đe 'nhŏng .,,,yă hơ 'yoh 
Em trai của họ,ŏh tơhnglo kăn hơ,oh tơhnglo đơng đe .,,,oh tơhnglo 
Em gái của họ,ŏh kơdyŏng kăn hơ,oh kơdiŏng đơng đe .,,,oh kơdiŏng đơng đe hyoh 
Tất cả các ông,Đĭ đăng đe 'Bok,đĭ rim 'bok .,,,đĭ đăng rim 'bok 
Tất cả các bà,Đĭ đăng đe yă,đĭ rim yă .,,,lơ̆m yă 
Nhiều chàng trai,Lư đe tơ dăm,lư c ao tơhnglo .,,,lư sơnăm 
Nhiều cô gái,lư đe adrŭh,lư duch kơdiŏng .,,,lư duch 
Một vài anh,'Ban Pêng 'nâu 'nhŏng,minh weng 'nhŏng .,,,minh 'nhŏng 
Một vài chị,Mĭnh 'ban 'nâu mai,minh weng mai .,,,minh 
Người đàn ông ấy (này),Bơngai 'bok mơ 'nŏh,bơngai tơhnglo ơ̆i ( 'nơ̆u ) .,,,bơngai hơ yoh . 
Người đàn bà ấy (này),Bơngai kơdyŏng 'nŏh ,bơngai ư ơ̆i ( 'nơ̆u ) .,,,bơngai kon uch 
Những người ấy (này),Lu bơngai 'nŏh,rim bơngai 'noh ( 'nơ̆u ) .,,,rim bơngai noh ! 'nơ̆u 
Một người đàn ông (nào đó) đang đi,Mĭnh 'nâu bơngai tơhnglo đang năm,một bơngai tơhnglo ( mă như ơ̆i ) atung kih .,,,minh 'nu bơngai kon kơdiŏng uch 
Một người đàn bà (nào đó) đang đi,Mĭnh 'nâu tŭ yuă đang năm,một bơngai ư ( mă như ơ̆i ) atung kih .,,,minh 'nu bơngai 'bok ria atung 'yung 
Một người (nào đó) đang đi,Mĭnh 'nâu atŭng năm,một bơngai ( mă như ơ̆i ) atung kih .,,,minh bơngai [UNK] noh năm piêu 
Những người (nào đó) đang đi,Kăn hơ atŭng năm,rim bơngai ( mă như ơ̆i ) atung kih .,,,rim bơngai [UNK] noh năm piêu 
Đây là nhà tôi,'Nâu hnam ĭnh,tơ-ơ̆u la hnam inh .,,,anu la hnam bơ̆n 
Người này là cha tôi,"'nâu, 'bă ĭnh ",bơngai 'nơ̆u la 'bă inh .,,,bơngai anu la ơ 'bă inh 
Người này là mẹ tôi,"'nâu, mĭ ĭnh",bơngai 'nơ̆u la mĭ inh .,,,bơngai anu la mĭ bơ̆n . 
Những người này là bạn tôi,Đe 'nâu đĭ đăng buân ĭnh,rim bơngai 'nơ̆u la 'ban inh .,,,rim bơngai anu la đôi tương 
Kia là đàn gà của tôi,"To 'nŏh, Ktum iêr ĭnh",to la tơpul 'yĕr đơng inh .,,,tơ to 
Con kia là gà mái,Mơ to 'yĕr yŏng,pôm to la 'yĕr yŏng .,,,kon tơ to 
Con kia là con trống,Mơ to 'yĕr tơ 'mông ,pôm to la kon bĭ .,,,kon tơ to 'nĕi kon nĕ pă 
Những con gà kia là của người hàng xóm,Đĭ đăng ŭhto 'yĕr đe kon pơlư̆,rim tŏ 'yĕr to la đơng bơngai rim pơlei .,,,tơmam ram tơ to . . . la bơngai lư bơngai lư 
Ở đây là ruộng,'Nâu tơ nâu ruông 'ba,wơ̆i tơ-ơ̆u la bal .,,,uĕi ơ̆u la bal 
Đằng kia là núi,găh to kông,gah to la kông .,,,minh to la công 
Học sinh,Đe hơ 'yŏh hnam trương,hok sinh .,,,hok sinh 
Một học sinh,Mĭnh 'nâu h'yŏh hnam trương,một hok sinh .,,,minh hok sinh 
Hai học sinh,'ban đe hơ 'yŏh hnam trương,hai hok sinh .,,,'bal 'nu hok sinh 
Những người học sinh (ấy),Lu đe hơ 'yŏh hnam trương,rim bơngai hok sinh ( 'noh ) .,,,rim bơngai hŏk sinh [UNK] 
(Tất cả) các học sinh ấy,Đĭ đăng đe hơ 'yŏh 'nŏh,( đĭ ) rim hok sinh ơ̆i .,,,('boi lơ̆m rim hŏk sinh ơ̆i 
Trâu,kơpô,kơpô .,,,kơpô 
Một con trâu,Mĭnh tŏ kơpô,một tŏ kơpô .,,,minh tŏ kơpô 
Hai con trâu,'bar tŏ kơpô,hai tŏ kơpô .,,,'bal tŏ kơpô 
Những con trâu (ấy),Khun kơpô,rim tŏ kơpô ( 'noh ) .,,,kơpô kơpô [UNK] 
(Tất cả) các con trâu (ấy),Khun kơpô 'nŏh,( đĭ ) rim tŏ kơpô ( 'noh ) .,,,( lơ̆m 'noh . . . ) 
Chuối,pit,pit .,,,pit 
Một cây chuối,Mĭnh hlah 'long pit,một 'long pit .,,,minh 'long pit 
Hai cây chuối,'Bar hlah 'long pit,hai 'long pit .,,,'bal hlak 'long pit 
Những cây chuối (ấy),lư 'long pit,rim 'long pit ( 'noh ) .,,,rim 'long pit [UNK] 
(Tất cả) các cây chuối (ấy),đĭ đăng 'long pit 'noh,( đĭ ) rim 'long pit ( 'noh ) .,,,( lơ̆m 'long pit [UNK] 
Bàn,Ban,'ban .,,,'ban 
Một cái bàn,Mĭnh tŏ ban,một hlak 'ban .,,,minh 'nu 'nhŏng 
Hai cái bàn,'bar tŏ ban,hai hlak 'ban .,,,'bal tŏ 
Những cái bàn (ấy),Mŏch mang tŏ ban,rim tŏ 'ban ( 'noh ) .,,,rim to hnam (đưng rŏng ơ̆u 
(Tất cả) các cái bàn (ấy),lư tŏ ban,( đĭ ) rim tŏ 'ban ( 'noh ) .,,,( lơ̆m 'noh . 
Cái sân rộng,'măng cham xă,hlak măng cham wơ̆l .,,,hlak măng cham awal . 
Con chó đen,kŏ găm,kŏ găm .,,,kŏ găm 
Con lợn béo,'bhŭng beh,tŏ nhŭng bek .,,,tŏ nhŭng 
Sợi dây dài,tơ 'lĕi đuôĭ,tơlĕi đuôĭ .,,,tơlĕi 
Cây ngô cao,'long hơ'bo 'đuôĭ,long hơbo yơl .,,,'long hơbo 
Cô gái đẹp kia,ŏh liêm to 'nŏh,duch kơdiŏng liêm to .,,,duch pơđam tơ to . . 
Hòn đá nặng đó,Tơ 'mơ tơrăp 'nŏh,tơmo trăp ơ̆i .,,,tơmo 'noh 
Con dao sắc ấy,Xăng han,hlak săng han ơ̆i .,,,hlak săng han 
Con chó dữ này,kŏngang (Kŏ ngang),kŏ nưih brư̆ 'nơ̆u .,,,kŏ nưih liêm 
Ngôi nhà gỗ rộng 5 gian của anh,Hnam xă pơ đăm plaih dĭ 'nhŏng,tŏ hnam 'long să pơđăm alah plach đơ̆ng nhŏng .,,,hnam 'long pơlĕi să pơđăm jĭt jĭ dêch đơ̆ng yŏng 
Hai tập giấy trắng này của chị,'bar sâp hla pơar 'nâu dĭ mai,hai adon pơsuh 'bak 'nơ̆u đơng mai .,,,'bal tŏ hla bơ-al 'nơ̆u đơng mai oh 
Cá thu,Ka thu,ka thu .,,,ka 
Chim sẻ,xem yuôn,sem prum .,,,sem chap 
Hoa sen,Pơ kao sen,sen .,,,sen 
Hột lựu,plai mrơm,gĕl ự .,,,gĕl 
Lá chuối,hla pit,hla pit .,,,hla pit 
Hột cát,gĕr chuôih,gĕl chuôh .,,,gĕl 
Cục vàng,Chơ nô̆ măih,pơluk pơlăk 'brơ̆u .,,,pơluk pơlăk 
Đàn vịt,khur ada,đàn ada .,,,đàn 
Tờ giấy,hla pơar,hlak hla bơ-al .,,,hlak hla bơ-al 
Cân gạo,Pơ têng phe,kăt 'ba .,,,kăt 'ba 
Tạ gạo,Hrĕng pơ tông phe,ta 'ba .,,,sơđa 
Thước vải,dŏ brai,thươ̆k chê .,,,thươ̆k chê 
Lít dầu,Hnŏng jâu,long jra jơ̆u .,,,'long jra 
Con gà,'yĕr,tŏ 'yĕr .,,,tŏ 'yĕr 
Con thuyền,thŏng,pôm thŏng .,,,kon thŏng 
Con sông,krong,hlak krong .,,,hlak krong 
Con đường,trong,kon trong .,,,kon trong 
Con dao,xăng,hlak săng .,,,hlak săng 
Quả cảm,plĕi kruô̆i ngam,plĕi ngoh .,,,plĕi 
Tờ báo,hla baŏ,hlak pơ-ang .,,,hlak 
Một con bò,Mĭnh tŏ lơ mo,một lơmo .,,,minh tŏ 
Hai con ngỗng,‘bar to kon ngông,hai pôm lap .,,,yang kon 
Ba con mèo,pêng tŏ kon meo,ba pôm meu .,,,'ba kon tơring 
Năm con ngan,Pơ đăm tŏ kon ngan,năm pôm lơnga .,,,sơnăm rŏng 
Đường số một,Trong kuam (1),trong ksô minh .,,,trong sô̆ 
Quốc lộ 14,T.qong Mĭnh jŭ puôn,Quốc Lộ 14 .,,,quôc phongan ninh đĕi 
Giường một,Yong minh nu,jương minh .,,,jương minh 
Mâm sáu,Pham đâm,mơ̆m drơ̆u .,,,mơ̆m 
Bộ ba,Hrơm pêng,bô̆ pêng .,,,bô̆ 
Lớp hai,Lơp 'bar,jĕl 'bal .,,,jĕl 'bok 'bar 
Năm 1984,Xơ hnăm nĭnh a.bâu tơ xĭn hriê̆ng tơh 'yum jŭ puôn ,năm 1984 .,,,năm 
Cô gái 16 tuổi,A druĭh mĭh jŭ tơ drơm xơh năm ,duch kơdiŏng 16 sơnăm .,,,duch kon [UNK] 
Vườn ổi,Cham ôi,teh dal hnam ôi .,,,vươn tưng 
Vườn của cha tôi,Cham 'bă ĭnh,teh dal hnam đơng 'bă inh .,,,vươn ươm đơ̆ng 'bă bơ̆n 
Bàn học,băn hŏk,'ban hok .,,,'ban hŏk 
Bàn kê trong góc,băn xư̆ lâm kơ chŏ,'ban sơn lơ̆m kơsŏ .,,,'ban nhân sơn lơ̆m kơchŏ 
Sáng nay,Pơ ghê hei,rang ahrĕi .,,,rang 
Chều mai,Kơ xơ̆ tơ 'ning,blăn 'năr dơning .,,,blăn 
Nhà trong,Hnam tơ lăm,hnam lơ̆m .,,,hnam uĕi 
Cổng trước,Dur cham,dul adrol .,,,dul 
Sân gạch,'yêr uôh (cham xâm găt),măng cham gach .,,,jung kung 
Nước đường,Đak 'bĕng,đak trong .,,,đak trong 
Mặt trái xoan,Mĕt apôm,Mặt Trái Xoan .,,,'yŭ adrin 
Lông mày lá liễu,Xŏh kơ mul mĕt pơ 'liêu,e ih hla blăn .,,,e năm hmŏng đak 
Anh ấy đến chiều qua,'nhŏng trŭh kơ xơ̆ abri,'nhŏng ơ̆i truh kơsơ̆ yuô ơu .,,,'nhŏng truh kơsơ̆ yư̆m yư̆m hơ sưt 
Cô ấy đã đến đây,Duch jơ̆h trŭh tơ âu,duch 'noh jơh truh tơ-ơ̆u .,,,duch 'noh jơh truh tơ ơ̆u 
Họ đến năm ngoái,Kaŭ hơ tơ xơ rŭh hăm a rŏng,kơtum kơtŏng truh sơnăm rŏng .,,,pre hơ năm tơmang dôm tơmăn 
Ngày mai anh ấy đến,Tơ ning 'nhŏng 'nŏh trŭh,'năr dơning 'nhŏng ơ̆i truh .,,,'năr dơning 'nhŏng năm truh . . . 
Tuần sau cô ấy đến,Đư̆ng rŏng duch 'nŏh trŭh ,apach đưng kơdŭ duch ơ̆i truh .,,,tuơ̆n đưng rŏng truh 
Ngày kia họ đến,'năr tơ muôh kăn hơ trŭh,'năr dơnuônh kơtum kơtŏng truh .,,,'năr dơnuônh 
Hôm nay anh ấy nghỉ học,'năr adrâu 'nhŏng pơ dĕi hŏk,'năr adrơu 'nhŏng ơ̆i hơ hok .,,,'năr adrơ̆u 'nhŏng ơ̆i năm hok . 
Hôm nay cô ấy lên nương,'năr adrâu duch nhơn năm tơ mir,'năr adrơu duch ơ̆i suôn na .,,,"'năr adrơ̆u , năm tơmưt pơm "
Hôm nay họ đốt rẫy,'năr adrâu kăn hơ xŏh mir,'năr adrơu kơtum kơtŏng 'buh mir .,,,'năr adrơ̆u mai oh năm . 
Trước đây tôi ở buông làng,Xơ̆ ĭnh oĕi lâm pơ 'lĕi,adrol măt inh uĕi tơ'nglaih pơlĕi .,,,kơsơ̆ ơ̆u uĕi jê̆ pơlĕi . 
Bây giờ tôi sống ở Buôn Ma Thuột,Ahrĕi ơ̆u ĭnh oĕi lâm Buôn Ma Thuột,ahrĕi ơu inh arih uĕi Buôn Ma Thuột .,,,"ahrĕi ơ̆u , inh arih uĕi 'băl jĭt . "
Năm nay tôi sẽ đi Sài Gòn,Xơ năm âu ĭnh ră năm T!rŭnh Sai Gon,sơnăm ơ̆u inh liêm lơm Sài Gòn .,,,"sơnăm ơ̆u , tơdrong năm tơ bơ̆l . "
Tôi sẽ sống ở đó 4 năm,ĭnh oĕi lâm puôn xơ hnăm,inh liêm arih uĕi 'noh 4 đăm .,,,inh arih uĕi 'noh puôn sơnăm . 
Tôi đã từng sống ở đây,ĭnh jơ̆h arĭh jaĭ hơ âu,inh jơh rim arih wơ̆i tơ-ơ̆u .,,,inh jơh rim tơdrong uĕi ơ̆u 
"Trời mưa từ chiều qua, bây giờ vẫn còn mưa","Kơ xơ abri, adrâu plănh ara 'mi dach","plĕnh 'mi đưng kơsơ̆ yuô ơu , 'boh ară 'mi .",,,"plĕnh măng mă anu , ahrĕi ơ̆u , 'boh ară ami "
Trời sẽ mưa,plănh vă 'mi,plĕnh liêm 'mi .,,,plĕnh 'mi 
Trời sắp mưa,plănh chŏ că 'mi,plĕnh bươ 'mi .,,,plĕnh bươ 
Cơm vừa chín,Por 'nao xin,ngoh bươ đum .,,,wă bươ 
Chiếc áo mới mua,Ao 'nao tuôt,tŏ au 'nao ruôt .,,,hlak au anao 
"Ngày mai, mặt trời chưa mọc tôi đã đi rồi","Pơ ghê tơ 'ning, 'năr đim lăch ĭnh chơ vă năm","'năr dơning , măt 'năr đim hon inh jơh năm 'noh .",,,'năr dơning măt 
Tôi đọc sách suốt ngày và đã đọc xong hai quyển,Ing pơ re hla ar plăt năk păng pôre đĭ bar kơ xâp,inh chih sơ̆p hla bơ-al plăt năr weng jơh chih hơleh 'bal tơ̆p .,,,inh chih jŭng hla bơ-al weng jơh 'yŏk hơleh . 
Hôm qua tôi đã giã gạo và đã giã xong 10 cối,abri jơ̆h pĕh phe đĭ đăng đĭ mĭnh jĭh tơ păr,'năr abri inh jơh peh 'ba peh weng jơh peh keh 10 tơpal .,,,'năr abri inh jơh peh 'ba peh 'ba weng jơh jê̆ hơ keh kong adrol minh jĭt năm . 
Ngày mai tôi sẽ làm xong việc ấy,Tơ ning ĭnh pơm xong tơ drong ‘nŏh,'năr dơning inh liêm pơm keh tơdrong 'noh .,,,'năr dơning mĭ pơm tơdrong jơh keh kong tơdrong pơm 
May xong áo,Ao xĭh jơ̆h a lĕh,sĭt hơleh au .,,,sĭt au 
Ăn cơm rồi,Xa ngoh kơ xơ̆,sa ngoh 'noh .,,,sa ngoh 
Nó đã dậy rồi,Hơ jơ̆h năm,hơ jơh yung 'noh .,,,hơ jơh pơm 
Tôi vừa đi vừa hát,ĭnh jâng yah 'bar jŏh,inh bươ năm bươ joh .,,,inh bươ năm bươ năm . 
Nó mỉm cười nhìn tôi,Hơ pơ 'yôm dĕk hnĕi ĭnh,hăp nguk dĕk ngŏ inh .,,,hơ 'yoh ngŏ hnhĕi 
Nó giận giỗi bỏ đi,Hơ đŭnk brư̆ klak năm lâh,hơ đuk tuk .,,,hơ plach 
Cô ấy vừa đẹp người vừa đẹp nết,Duch 'noh liêm đĭ tơ dơrong,duch ơ̆i bươ liêm bơngai bươ liêm kŭ̆t .,,,duch bưa wă pơgloh hưch hanh 
Cô ấy đã chết,Duch 'noh jơh luôch,duch 'noh jơh luôch .,,,duch 'noh 
Giặc Mỹ đã giết cô ấy,A yăt My jơ̆h 'bet duch 'nŏh,giăc Mỹ jơh adrĭng duch ơ̆i .,,,"bơdrưng , my jơh adrĭng duch . "
Cô ấy đã chết vị bị giặc Mỹ giết,Duch 'nŏh luôch kơ yu a yăt My 'bet,duch 'noh jơh luôch yuô bi giăc Mỹ 'bet .,,,duch 'noh 
Cái chết của cô ấy làm tôi rất đau khổ,"Lô dêh, duch 'nŏh jơ̆h luôch",hlak luôch đơng duch ơ̆i pơm bơ̆n dêh bĭ nan .,,,hlak luôch bĭ ăn đe kră sơ̆ bĭ ơĭ tơdrong hrap tơnat 
Hành động giết người của giặc Mỹ làm cho mọi người đều căm giận,My 'beh bơ ngai dĭ đăng bu bu jơ̆h arĕh tŭk a'yăt My,hanh đông adrĭng bơngai đơng giăc Mỹ pơm ăn rim bơngai hơdơi hil đuk .,,,hanh đông adrĭng bơngai đơng nă ma pơm ăn rim bơngai hơdơi brư̆ đuk . 
